"","ID","ID.Parc","Adresse.Complete","Type","Latitude","Longitude","Adresse.Rue","Adresse.Ville","Adresse.Province","Adresse.Postal"
"1","CEA-146","First Capital - Place Nelligan","1134 St-René Boulevard West, Gatineau, QC, J8T 6H1","Level2",45.487851,-75.70122,"1134 St-René Boulevard West","Gatineau","QC","J8T 6H1"
"2","CEA-10097","DGI - Complexe Desjardins","1251 rue Jeanne-Mance, Montréal, QC, H2X 3Y2","Level2",45.507924,-73.56414,"1251 rue Jeanne-Mance","Montréal","QC","H2X 3Y2"
"3","CEA-067","St-Laurent - Bibliothèque du Boisé","2727 boul. Thimens, Saint-Laurent, QC, H4R 1T4","Level2",45.504816,-73.70434,"2727 boul. Thimens","Saint-Laurent","QC","H4R 1T4"
"4","CEA-049","Hydro-Québec - CA Lebourgneuf","2625 boul. Lebourgneuf, Québec, QC, G2C 1P1","Level2",46.82593425,-71.31671042,"2625 boul. Lebourgneuf","Québec","QC","G2C 1P1"
"5","CEA-461","Shawinigan - Aréna Gilles Bourassa","1705 117e rue, Shawinigan-Sud, QC, G9N 6V3","Level2",46.51708,-72.75541,"1705 117e rue","Shawinigan-Sud","QC","G9N 6V3"
"6","CEA-10205","RIO - Parc Olympique","4141 Avenue Pierre-De Coubertin, Montréal, QC, H1V 3N7","Level2",45.55541773,-73.5513812,"4141 Avenue Pierre-De Coubertin","Montréal","QC","H1V 3N7"
"7","CEA-470","St-Hubert - Beauport","3410 boul. Ste-Anne, Québec, QC, G1E 3L7","Level2",46.852512,-71.19589,"3410 boul. Ste-Anne","Québec","QC","G1E 3L7"
"8","CEA-10031","St-Hubert - Mont-Tremblant","330 rue de St-Jovite, Mont-Tremblant, QC, J8E 2Z9","Level2",46.11919866,-74.56836031,"330 rue de St-Jovite","Mont-Tremblant","QC","J8E 2Z9"
"9","CEA-10202","Decarie Square","6900 Boul. Décarie, Montréal, QC, H3X 2T8","Level2",45.490428,-73.650335,"6900 Boul. Décarie","Montréal","QC","H3X 2T8"
"10","CEA-006","PJC - Greenfield Park","3216 boulevard Taschereau, Greenfield Park, QC, J4V 2H3","Level2",45.49529117,-73.48362277,"3216 boulevard Taschereau","Greenfield Park","QC","J4V 2H3"
"11","CEA-10156","Sur rue - Ville-Marie - rue Champlain","1420 rue de Champlain, Montréal, QC, H2L 2S3","Level2",45.522368,-73.554282,"1420 rue de Champlain","Montréal","QC","H2L 2S3"
"12","CEA-124","First Capital - Carrefour St-David Ouest","2837 avenue St-David, Québec, QC, G1C 0J3","Level2",46.865528,-71.216852,"2837 avenue St-David","Québec","QC","G1C 0J3"
"13","CEA-090","St-Léonard - Aréna Martin-Brodeur","5300 Boulevard Robert, St-Léonard, QC, H1R 1R1","Level2",45.58554,-73.59837,"5300 Boulevard Robert","St-Léonard","QC","H1R 1R1"
"14","CEA-10100","Musée J. Armand Bombardier","1001 Avenue J.A. Bombardier, Valcourt, QC, J0E 2L0","Level2",45.494204,-72.310161,"1001 Avenue J.A. Bombardier","Valcourt","QC","J0E 2L0"
"15","CEA-10183","Sur rue - Ville-Marie - rue Frontenac","1956 Rue Frontenac, Montréal, QC, H2K 2Z1","Level2",45.532725,-73.552184,"1956 Rue Frontenac","Montréal","QC","H2K 2Z1"
"16","CEA-152","St-Hubert - Rimouski","395 Boulevard Arthur-Buies Est, Rimouski, QC, G5M 1Y1","Level2",48.4529157,-68.49426907,"395 Boulevard Arthur-Buies Est","Rimouski","QC","G5M 1Y1"
"17","CEA-197","Hydro-Québec - St-Hubert","5250 Armand-Frappier, St-Hubert, QC, J3Z 1G3","Level2",45.45869,-73.40989,"5250 Armand-Frappier","St-Hubert","QC","J3Z 1G3"
"18","CEA-359","Lacolle - Halte Cycliste","103 Rue de l'Église Sud, Lacolle, QC, J0J 1J0","Level2",45.074214,-73.37503,"103 Rue de l'Église Sud","Lacolle","QC","J0J 1J0"
"19","CEA-10000","CAA-Québec","444 rue Bouvier, Québec, QC, G2J 1E3","Level2",46.83772091,-71.26914564,"444 rue Bouvier","Québec","QC","G2J 1E3"
"20","CE-R-018","RONA - Québec","1500 rue Bouvier, Québec, QC, G2K 1N8","Level2",46.827658,-71.293394,"1500 rue Bouvier","Québec","QC","G2K 1N8"
"21","CEA-10070","DGI - Complexe Desjardins","1251 rue Jeanne-Mance, Montréal, QC, H2X 3Y2","Level2",45.507924,-73.56414,"1251 rue Jeanne-Mance","Montréal","QC","H2X 3Y2"
